hw1,hw2,tw,bf1,tf1,bf2,tf2,psi,L,y,y_norm
300,100,2.04,75,2.04,225,4.74,0.5,6000,7.31348849,0.5710554612
500,1000,5.62,1000,24.74,250,15.39,-1.0,22000,1877.398417,1.1300543358
700,175,8.13,175,11.42,700,12.16,0.25,9800,358.3372546,0.4017730682
800,800,2.67,200,5.68,200,5.68,0.0,20800,34.69921086,2.0054692362
600,400,3.38,150,3.38,150,3.38,1.0,18000,5.060223572,1.1447667916
500,250,20.0,250,20.0,250,20.0,0.25,10000,812.8063867,1.6123572249
800,533,14.4,200,14.4,800,31.58,-0.5,1600,24421.36827,0.1819072258
200,700,28.0,525,28.0,175,28.0,1.0,28000,976.6374512,1.5747498813
533,800,2.97,800,22.74,800,49.26,0.25,12800,18765.00866,1.1585084085
1000,1000,40.0,1000,40.0,500,40.0,-0.25,16000,60560.93311,3.9083842358
600,600,2.51,450,29.37,150,12.0,0.25,7200,8425.11925,6.2013230844
240,600,2.51,300,16.26,600,30.32,-0.75,6000,7525.75912,1.4640691168
200,600,4.08,450,17.76,450,21.08,-0.75,9600,4095.100038,2.3297052259
500,500,9.0,125,9.54,250,9.0,-0.25,13000,77.24267895,1.350970952
600,400,5.14,150,10.34,150,10.34,0.0,18000,42.76785041,1.946601179
900,360,36.0,900,45.47,225,36.0,-0.5,7200,77336.43574,3.8593570875
300,75,2.57,75,2.96,75,2.96,-1.0,6600,4.688260882,2.8099948796
1000,250,18.0,250,18.16,1000,35.79,0.75,6000,6563.729586,0.3020885074
800,200,6.86,200,6.86,200,6.86,-0.5,30400,40.29169745,2.9321626853
500,250,2.81,375,9.28,375,9.28,-1.0,9000,1141.655503,2.5883792355
900,900,36.0,900,62.05,900,48.79,0.75,7200,169097.1066,1.2252763559
286,1000,4.19,500,14.21,250,19.08,-0.5,26000,727.8765639,2.8936451977
900,600,5.06,900,42.16,900,42.16,0.75,23400,13247.01293,1.1729875171
900,600,4.32,225,6.39,225,6.39,-0.5,36000,35.59859517,2.9411655866
600,150,4.08,300,16.26,600,32.53,-0.5,4800,8280.877061,1.1096181548
800,200,5.43,600,34.74,600,34.74,0.75,6400,21830.05723,1.1358587919
300,86,12.0,225,12.0,225,12.0,0.75,2400,1109.27581,1.1343238516
1000,500,3.71,1000,72.63,1000,72.63,1.0,36000,21846.85273,1.0354419501
400,100,1.67,200,3.47,100,1.74,0.0,2400,369.3775748,5.4901154329
300,86,1.0,150,8.68,150,8.68,0.75,9000,34.99915526,1.2396142349
700,233,2.6,700,12.16,175,12.71,-1.0,12600,993.5203653,1.5789063468
800,800,6.86,800,46.32,200,16.0,-1.0,20800,5211.745198,2.5609094905
167,500,20.0,125,20.0,375,20.0,0.25,4000,1280.322907,0.7835868118
257,900,36.0,225,36.0,675,41.57,0.0,10800,8105.72691,1.4049406653
500,500,4.29,375,4.29,375,13.42,0.25,3000,3598.232631,0.7840178187
500,143,2.81,500,32.63,125,10.0,0.25,14000,3108.286189,6.6516446327
800,200,4.5,600,48.0,600,48.0,0.25,9600,27128.02141,1.7305349672
200,300,1.11,300,9.63,150,7.58,-1.0,6600,202.0368516,1.5983866762
167,500,9.0,500,25.26,375,9.0,0.75,4000,10690.61406,1.8524702618
1000,500,8.57,1000,76.32,1000,76.32,0.0,14000,156752.7812,1.9960444683
400,267,2.25,400,20.21,100,4.32,-1.0,16000,465.545729,5.1176543945
300,120,5.4,75,5.45,75,5.45,0.75,10200,4.188230694,1.1751778538
150,300,2.57,75,2.57,225,18.0,0.75,2400,217.7853315,0.7805887374
600,171,2.88,150,9.24,300,12.95,0.5,7200,151.503976,0.7420848979
300,75,5.4,150,5.4,150,5.4,-0.75,10800,38.55469579,3.2604331876
300,900,10.45,225,14.68,225,10.45,-0.75,32400,123.442527,2.6217398962
600,150,2.51,450,12.79,450,17.76,0.5,14400,837.0461168,1.3208821054
