hw1;hw2;tw;bf1;tf1;bf2;tf2;psi;L;y
86;300;1.26;225;11.37;75;4.07;0;9000;119.5599607
600;400;24;450;24;450;27.71;0.25;9600;5063.507581
229;800;4.5;400;26.11;600;45.79;0.75;28800;2057.194128
1000;1000;11.61;500;40;250;11.61;-0.5;24000;4218.220428
700;200;6;700;12.16;700;12.16;0.75;11200;3126.810641
800;800;2.67;200;13.05;600;48;-0.25;16000;3134.353101
600;200;5.14;450;5.14;600;8.21;-1;13200;835.2912277
200;500;2.09;125;9.54;250;9.87;0.5;2000;426.063238
500;143;9;125;9;250;9;0.75;14000;40.41729113
1000;500;5.62;1000;54.21;500;32.63;0.75;40000;9047.980244
400;800;32;400;32;600;32;0;20800;3569.968879
900;360;7.71;450;7.71;675;54;0.25;14400;5773.380886
114;400;16;100;16;300;21.79;-0.5;15200;475.5859457
114;400;1.48;100;6.89;100;8;0;15200;9.272001374
400;1000;8.57;500;40;750;26.84;1;22000;2838.538725
700;350;6;175;8.2;525;28.46;-0.5;26600;691.7489229
500;167;2.81;250;5.26;250;5.26;0;18000;45.97084647
267;800;4.5;800;52.21;400;4.5;-0.75;24000;9932.781274
450;900;7.71;675;29.13;450;17.76;0.25;14400;7902.046045
250;500;1.67;375;14.8;500;27.11;-0.25;7000;4086.838955
75;300;1.69;150;2.05;150;2.61;0.5;3000;30.1497222
1000;1000;6.79;500;19.74;750;21.32;-1;36000;2050.210587
700;233;28;525;28;350;28;0.5;7000;10699.71016
700;700;3.36;525;34.26;175;8.2;0;7000;20436.45034
800;800;3.84;400;24.63;600;41.37;-1;16000;6897.660812
700;280;12.6;700;25.05;700;50.84;-0.25;26600;8781.738325
400;160;2.25;100;2.25;200;5.68;-1;2400;113.8039618
160;400;2.25;400;32;200;12.32;0.75;9600;1982.815241
400;200;2.72;300;22.89;300;8.53;0;13600;706.8940598
900;600;3.34;900;68.68;900;32.21;0.5;7200;185964.2659
233;700;3.94;175;8.84;350;15.11;1;25200;63.69150822
400;600;5.14;600;30.32;450;36;0.25;24000;3262.099697
500;167;5.81;250;12.63;250;14.47;-1;18000;279.1354996
533;800;4.5;400;26.11;400;18.74;-0.75;3200;42550.6023
800;267;32;800;46.32;600;41.37;0.75;8000;44313.78036
400;1000;6.79;750;51.71;250;17.24;-1;16000;6861.906381
900;450;10.45;900;62.05;900;65.37;0;18000;59818.30157
500;500;2.81;125;7.7;500;17.89;0.25;3000;652.2502565
300;200;1.44;225;13.86;300;11.84;1;6000;312.7688818
900;600;4.32;900;22.26;450;24.39;0.5;21600;6390.525192
200;500;1.67;125;7.24;125;2.17;-0.25;2000;351.0065977
600;300;24;300;24;150;24;-0.5;4800;6175.863834
800;800;2.67;400;9.89;800;13.89;0.5;22400;410.1800767
360;900;3.34;450;11.13;675;26.64;0.75;32400;663.0951998
500;167;5.81;125;5.81;500;32.63;-0.25;10000;1603.198482
300;75;3.48;225;4.74;150;3.48;-0.5;9000;86.31216595
400;267;7.2;400;24.63;100;7.2;-0.25;1600;20284.09198
1000;333;18;500;28.95;500;18;0.25;22000;2357.55664
467;700;28;700;50.84;175;28;0.5;4200;105760.5839
700;700;3.94;350;11.24;350;20.26;0;12600;940.5737432
800;533;3.84;600;45.79;600;14.84;0.25;27200;4728.795272
250;1000;5.62;500;17.89;500;5.62;0.5;40000;307.6032348
500;250;3.4;375;16.18;250;14.47;0.25;16000;551.6389949
600;600;2.23;600;32.53;600;41.37;0.75;6000;27051.74059
300;300;1.26;225;13.86;150;7.03;-0.75;4800;556.4901144
400;200;7.2;400;27.58;100;7.2;0.25;10400;1966.040086
143;500;2.4;125;7.24;125;6.32;0.5;10000;17.3678832
600;171;6.97;300;21.79;600;14.84;0.25;4800;4276.778816
700;700;12.6;175;12.6;175;12.6;-0.5;8400;465.6237024
133;400;1.33;200;13.05;400;11.37;1;11200;150.5588313
150;600;10.8;150;11.45;600;19.26;-0.25;13200;1238.612933
250;1000;8.57;750;40.66;500;30.79;0;20000;10055.76896
600;400;24;300;24;450;24.39;1;8400;1699.343516
400;800;3.84;200;8.63;200;3.84;-0.25;30400;26.74376862
400;160;1.33;400;32;200;15.26;0.25;8800;3389.549679
900;900;36;225;36;900;36;-0.75;23400;5278.15367
600;900;6.11;675;21.67;675;16.7;-1;21600;5424.861456
500;500;2.4;375;7.89;250;20;-0.5;16000;586.2021349
75;300;1.11;300;16.26;150;1.5;1;6600;381.2495124
500;250;9;125;9;500;32.63;-0.5;1000;9401.401302
200;500;1.67;250;10.79;125;6.32;0.25;18000;69.84056802
300;900;6.11;450;7.82;675;41.57;0.5;36000;1665.803254
300;100;12;150;12;225;12;-0.75;10800;201.6374917
300;86;1.69;225;11.37;225;10.54;-0.25;5400;572.8766329
300;300;2.57;300;15.16;225;8.88;0.5;2400;4739.160123
700;700;28;700;50.84;525;30.39;1;23800;6593.555367
800;800;5.43;800;40.42;800;28.63;1;9600;33977.67465
500;167;2.81;375;20.33;250;2.81;-0.25;13000;1320.979682
150;300;1.44;300;18.47;300;6.32;0.5;7800;640.0742659
500;125;2.81;125;10;125;5.39;0;1000;1972.681272
300;200;3.48;225;8.05;75;4.34;0.75;2400;684.2617392
600;200;2.23;450;19.42;450;12.79;-1;10800;2654.929869
1000;500;4.8;750;18.55;500;6.84;-0.5;24000;3477.238514
